32,2,Plane accessories,Fuel tank cap (fuselage tank),K521B000, EUR89, 1 pcs, lockable
32,3,Plane accessories,Wing tank cap (Faeta),4U4501, EUR54, 1 pcs,
32,4,Plane accessories,Wing tank cap gasket,4U4502, EUR4, 1 pcs,
32,5,Plane accessories,Water hose,4U3625, EUR11, 1 m, Ø 25
32,6,Plane accessories,Fuel hose,4U3606, EUR7, 2,5 m, 6 mm, 8 mm
33,1,Plane accessories,Fuel hose viton,4U3806, EUR12, 2,5 m, 6 mm, 8 mm, ethanol resistant
33,2,Plane accessories,Fireproof hose protection,4U4025, EURwater hose26fuel hose16binding tape4,00, 1 m, refer requested type (water/fuel)
33,3,Plane accessories,Fuel hose clip,4U4213, EUR1, 1 pcs, 13-15 mm
33,4,Plane accessories,Water hose clip,4U4225, EUR1,  1 pcs,
33,5,Plane accessories,Switch,4U4512, EUR7,  1 pcs,
33,6,Plane accessories,Switch protector,4U4520, EUR6, 1 pcs, specify requested colour (red/blue/black)
34,1,Plane accessories,Circuit breaker,4U4513, EUR17, 1 pcs,
34,2,Plane accessories,Elevator trim "kit",4U1905, EUR187,  1 set, complete installation kit (incl. control,cables, connectors..)
34,3,Plane accessories,Elevator trim servo,4U1904, EUR51,  1 pcs,
34,4,Plane accessories,AVEO wing flashlights,4U5002, EUR685, 1 set (2 pcs), 3 in 1 (navigation, position, strobe)
34,5,Plane accessories,Rescue system USH + installationavailable only incl. installation by ATEC,, EUR5030, 1 set (2 pcs), price including installation; availabilityof installation depends on s/n of the aircraft;price may vary according to complexity of works
34,6,Plane accessories,Electric flaps control box,4U1907, EUR882,  1 pcs,
35,1,Plane accessories,Servo to electric flaps,4U1908, EUR166,  1 pcs,
35,2,Plane accessories,,, EUR,  1 pcs,
